Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто;Адреса;Телефон;Email
Єрошенко;Наталія;Степанівна;female;1969-08-09;Вчитель;хутір Самбір;парк Дачний 1-й, буд. 871 кв. 59, Сіверськодонецьк, 91969;096 702-76-27;valentynazabarna@example.net
Дуплій;Дан;Дмитрович;male;1994-02-28;Диригент;хутір Часів Яр;площа Рівності, буд. 3, Ровеньки, 59647;062 126-13-07;verkholavadym@example.com
Джунь;Валентин;Богданович;male;1990-03-20;Різноробочий;село Нетішин;парк Ганни Ахматової, буд. 968, Ніжин, 16444;092 169-51-08;onalyvaiko@example.org
Сірко;Герман;Сергійович;male;1958-02-25;Кур'єр;село Ніжин;узвіз Скляний 1-й, буд. 560, Новгород-Сіверський, 32763;+380 06 554 97 33;olenaderhach@example.com
Дрозденко;Віра;Юріївна;female;1973-01-23;Кушнір;місто Черкаси;сквер Лазурний 4-й, буд. 8 кв. 7, Буринь, 11918;+380 (65) 801-67-86;okseniiadavydenko@example.net
Іщенко;Леон;Андрійович;male;1938-04-09;Астроном;село Севастополь;набережна 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 934, Городище, 83976;+380 96 342 64 11;bdanylchuk@example.org
Корж;Орхип;Юрійович;male;1944-05-05;Мистецтвознавець;хутір Тиврів;проспект Капітана Гаврікова, буд. 447 кв. 1, Валки, 31035;+380 25 570-76-25;panteleimonchaban@example.net
Кириленко;Камілла;Максимівна;female;1962-07-28;Епідеміолог;хутір Любомль;шосе Локомотивна, буд. 4 кв. 755, Косів, 66157;081 207 73 09;lizailienko@example.net
Смик;Павло;Степанович;male;1990-07-12;Паблік рилейшнз;селище Бунге;площа Людмили Гінзбург, буд. 23 кв. 8, Боярка, 92650;048 227 62 20;ustymchuiko@example.net
Жарко;Богданна;Юріївна;female;1950-04-21;Каскадер;селище Гірське;набережна Штильова, буд. 757 кв. 219, Вільнянськ, 55093;016 433-42-87;ievaholyk@example.org
Воблий;Борис;Андрійович;male;1978-04-25;Фольклорист;село Алупка;проспект Короткий, буд. 11 кв. 642, Зоринськ, 06463;+380 56 456 87 10;cderevianko@example.net
Гоголь;Марта;Євгенівна;female;1940-03-22;Круп'є;хутір Погребище;провулок Шкільний, буд. 1, Златопіль, 99656;979 93 32;albinababych@example.net
Удовенко;Сергій;Євгенович;male;1974-10-31;Агроном;село Южноукраїнськ;узвіз Листяна, буд. 7 кв. 45, Харцизьк, 41551;+380 35 273-33-67;babiiiefrem@example.org
Шахрай;Єва;Григорівна;female;2000-01-13;Адвокат;селище Снігурівка;набережна Івахненка Петра, буд. 05 кв. 9, Снятин, 68461;087 804 78 53;ielysei81@example.net
Туркало;Остап;Максимович;male;2005-08-06;Євнух;село Зіньків;площа Полуничний, буд. 77, Тальне, 12040;+380 41 862 61 41;amvrosii47@example.com
Гаврилів;Орися;Василівна;female;1973-12-02;Скульптор;хутір Борщів;проспект Лінія 38-ма, буд. 1, Білопілля, 60411;899-86-38;bohdan94@example.net
Редько;Марта;Олександрівна;female;1959-01-29;Складальник;селище Севастополь;площа Дзвінка, буд. 6 кв. 7, Новоукраїнка, 17748;+380 38 047-72-26;shukhevychustym@example.org
Бандура;Геннадій;Іванович;male;1972-11-04;Економіст;хутір Щастя;вулиця Рятувальників, буд. 92 кв. 066, Копичинці, 41558;+380 26 973 97 51;jzasenko@example.org
Данильчук;Теодор;Богданович;male;1966-09-09;Мінералог;хутір Снятин;вулиця Миколи Троїцького, буд. 8 кв. 340, Кагарлик, 33154;+380 63 642-51-60;babychenkotereza@example.net
Жук;Веніямин;Юрійович;male;1974-03-22;Прокурор;село Олевськ;площа Віталія Блажка, буд. 9 кв. 61, Батурин, 10134;+380 63 074-68-02;iukhymzabara@example.com
Притула;Орест;Анатолійович;male;1976-08-07;Флорист;селище Тульчин;набережна Мукачівський, буд. 8, Гайсин, 10793;904-74-11;mykolaidotsenko@example.org
Алексюк;Єва;Євгенівна;female;1945-10-12;Електротехнік;місто Бобринець;проспект Лятошинського, буд. 7, Лохвиця, 36465;+380 70 091-01-36;stanislav75@example.org
Іващенко;Онисим;Євгенович;male;1971-05-05;Програміст;хутір Святогірськ;набережна Академіка Богатського, буд. 27, Саки, 65682;+380 99 097 76 75;allakarpa@example.net
Щириця;Леонід;Олександрович;male;1949-03-31;Клоун;хутір Сквира;шосе Нечипуренка, буд. 652, Василівка, 64196;+380 (07) 247-56-40;taras69@example.org
Дубенко;Зорян;Юрійович;male;2008-01-23;Юрист;село Гірник;парк Грузинська, буд. 372, Шумськ, 37054;+380 75 297-34-83;bazavluchenkovarfolomii@example.com
Проценко;Євген;Максимович;male;1986-10-06;Астронавт;місто Новодністровськ;парк Дніпровська, буд. 419 кв. 5, Василівка, 77096;+380 (50) 236-38-30;ustymdevdiuk@example.com
Адамчук;Сергій;Богданович;male;1987-07-25;Кушнір;селище Малин;провулок Академічна, буд. 5, Устилуг, 01555;039 751-06-91;orkhyptsybulenko@example.com
Сірко;Єва;Максимівна;female;1997-10-20;Мікробіолог;місто Сторожинець;шосе Академіка Липського, буд. 514 кв. 8, Іловайськ, 05889;769 56 71;lukiankabaliuk@example.net
Каденюк;Сергій;Степанович;male;1966-11-29;Музикознавець;селище Дрогобич;шосе Скліфосовського, буд. 5 кв. 8, Буськ, 53127;372 16 75;viktoriiahuz@example.net
Носенко;Стефан;Анатолійович;male;1941-06-13;Хімік;селище Севастополь;площа Адольфа Лози, буд. 4, Івано-Франківськ, 86644;084-83-95;gkovpak@example.com
Теліженко;Емілія;Михайлівна;female;1977-12-30;Диригент;селище Нововолинськ;узвіз Персикова, буд. 35 кв. 513, Ялта, 90218;016 607-89-28;marusiatsymbaliuk@example.com
Зінчук;Любов;Максимівна;female;1966-10-24;Пекар;місто Вишгород;узвіз Павла Чубинського, буд. 925, Карлівка, 04753;+380 72 587 93 07;iefymenkoadam@example.com
Непорожній;Ада;Степанівна;female;2000-03-31;Детектив;місто Заліщики;вулиця Задніпровського, буд. 73 кв. 98, Сіверськодонецьк, 54004;761 69 14;vievdokymenko@example.org
Демʼянчук;Аніта;Олегівна;female;1974-07-17;Художник;селище Новгород-Сіверський;площа Купріна, буд. 2 кв. 411, Бар, 76081;051 680 21 16;kolisnychenkoleopold@example.org
Давимука;Кирило;Юрійович;male;1969-06-22;Бухгалтер;хутір Радехів;площа Хвойний, буд. 0, Кам'янка-Бузька, 50554;+380 12 531-71-16;wpavlenko@example.net
Андрійчук;Анжела;Григорівна;female;1943-03-24;Громадський діяч;селище Тростянець;парк Лінійний, буд. 21 кв. 37, Молочанськ, 70009;071 313 53 42;akonoplenko@example.net
Джунь;Августин;Володимирович;male;1956-01-11;Фермер;місто Жмеринка;шосе Виноградна 1-ша, буд. 51 кв. 64, Севастополь, 68490;+380 (95) 232-99-31;tetiana60@example.org
Зінчук;Юхим;Олександрович;male;1938-07-30;Бібліограф;селище Сватове;набережна Лобачевського, буд. 37, Волочиськ, 28892;117 95 26;romanetshanna@example.org
Лубенець;Ірена;Євгенівна;female;1941-07-05;Антрополог;місто Жовква;парк Аеропортівський 3-й, буд. 096, Брянка, 81283;072 721 59 67;szaichenko@example.net
Романчук;Олекса;Романович;male;1965-02-23;Штукатур;село Бережани;провулок 1-й Академічний тупик, буд. 61 кв. 178, Чорноморськ, 09112;+380 (71) 931-98-22;wdubyna@example.org
Філіпенко;Андрій;Михайлович;male;1972-03-21;Круп'є;хутір Богуслав;сквер Студентський 4-й, буд. 554 кв. 503, Кам'янка (Черкаська область), 09401;+380 22 570-74-02;andrii42@example.net
Алексеєнко;Левко;Андрійович;male;1960-09-05;Няня;місто Дружківка;сквер Отамана Головатого, буд. 5 кв. 77, Полтава, 80474;022 949-28-96;kostiantynkalenychenko@example.net
Євтушенко;Борислав;Андрійович;male;1991-11-10;Гірник;хутір Галич;узвіз Наливна, буд. 6, Ходорів, 60833;+380 67 684-41-20;ohaidamaka@example.org
Шеремет;Станіслав;Михайлович;male;1991-08-12;Палеонтолог;селище Буча;узвіз Манежна, буд. 39, Жидачів, 56838;+380 26 109-37-04;veniiamyn19@example.org
Цушко;Дан;Миколайович;male;1946-02-10;Антрополог;місто Чистякове;сквер Томатна, буд. 04, Конотоп, 23329;+380 (35) 192-29-42;lukian15@example.net
Вакарчук;Леопольд;Олегович;male;1981-09-20;Медик;село Бобринець;набережна Житомирський 3-й, буд. 0, Берестечко, 57229;059 836-75-83;mvivcharenko@example.net
Рудик;Олена;Степанівна;female;1944-01-18;Гінеколог;хутір Часів Яр;вулиця Пішонівська, буд. 00 кв. 22, Перечин, 45105;175 30 64;klavdiia58@example.com
Вернидуб;Алла;Петрівна;female;1977-09-25;Географ;місто Шаргород;сквер Оранжерейний, буд. 257 кв. 4, Сніжне, 63522;+380 11 760-85-30;havrylenkoirena@example.org
Козак;Сергій;Анатолійович;male;1948-04-19;Геолог;селище Сокиряни;парк Соні Делоне, буд. 849, Судак, 56318;776-79-64;hennadiihrytsenko@example.org
Луценко;Богодар;Степанович;male;1959-10-03;Шериф;село Старий Крим;набережна Радісна, буд. 8, Збараж, 03927;+380 (70) 181-82-14;stefanvovk@example.com
Лесик;Амалія;Петрівна;female;1998-11-23;Психолог;селище Хмільник;провулок Шовкуненка, буд. 259 кв. 35, Єнакієве, 58586;+380 (36) 137-47-91;aaroniakovenko@example.com
Колесниченко;Галина;Степанівна;female;1942-07-06;Драматург;хутір Гребінка;парк Отрада, буд. 904, Ізюм, 22687;063-71-23;easaula@example.net
Черінько;Олесь;Олегович;male;1980-12-26;Гицель;хутір Сміла;провулок Мигдальна, буд. 433 кв. 355, Костянтинівка, 99318;+380 05 507-29-93;serhii45@example.com
Шеремета;Альберт;Вікторович;male;1955-12-03;Няня;місто Сокаль;узвіз Азербайджан, буд. 74, Остер, 32201;+380 11 938 05 10;mariia70@example.org
Дубенко;Пармен;Юрійович;male;1991-08-09;Головний меркшейдер;місто Шостка;площа Канатна, буд. 3, Сколе, 51955;+380 (52) 020-25-56;cavramchuk@example.com
Чередник;Онисим;Максимович;male;1970-04-04;Сценарист;місто Тульчин;площа Гіацинтовий, буд. 61, Могилів-Подільський, 86555;+380 76 782-84-14;liaremko@example.com
Тригуб;Руслан;Петрович;male;2008-04-26;Акушер;село Вишневе;парк Заводська, буд. 1 кв. 2, Буськ, 09685;+380 88 408-56-52;khoma08@example.org
Забіла;Тимофій;Вікторович;male;1969-06-12;Євнух;місто Олешки;парк Деревообробний 5-й, буд. 1, Берислав, 11170;070 647-07-47;skopenkoiefrem@example.com
Вахній;Одарка;Євгенівна;female;1951-10-23;Клавішник;місто Енергодар;узвіз Кедровий, буд. 39, Гайсин, 30987;+380 49 480-98-86;kostiantynpetrenko@example.net
Абраменко;Марко;Богданович;male;2005-05-12;Інженер;село Золотоноша;узвіз Архітекторська, буд. 63, Шептицький, 55052;997-56-00;nestor13@example.com
Євтушенко;Ілля;Олегович;male;1990-01-04;Клавішник;хутір Городня;вулиця Стражеска Миколи, буд. 5, Токмак, 50560;010-14-23;stepan52@example.org
Гузій;Ліза;Степанівна;female;1976-11-02;Композитор;село Голубівка;шосе Проїзний 3-й, буд. 7, Рахів, 19126;+380 15 790 09 91;fastenkoliza@example.net
Дацюк;Анастасія;Романівна;female;1954-08-26;Прокурор;селище Кам'янка-Бузька;узвіз Шкіперська, буд. 518 кв. 593, Берестечко, 19118;+380 (78) 722-15-92;fhavrylyshyna@example.net
Затовканюк;Мілена;Володимирівна;female;1967-08-11;Перекладач;село Бахчисарай;вулиця Паркова, буд. 7, Ямпіль, 04240;+380 22 790-53-34;mykolaiparasiuk@example.org
Дергач;Герман;Михайлович;male;1977-11-20;Психолог;хутір Слов'янськ;проспект Пересипський 2-й, буд. 3 кв. 54, Білозерське, 88713;080 055-20-08;viktor91@example.com
Андрієвич;Аліна;Володимирівна;female;1987-11-16;Хімік;селище Південне;проспект Костанді 2-й, буд. 494 кв. 9, Часів Яр, 72911;006 770 07 31;obevz@example.com
Данильчук;Артем;Олегович;male;2000-08-08;Електромонтер;селище Кобеляки;проспект Маріупольська, буд. 76 кв. 7, Хотин, 57065;052 981 48 49;artem34@example.org
Цимбал;Тимофій;Миколайович;male;1968-12-18;Інженер;село Снігурівка;площа Велика Садова, буд. 418 кв. 58, Кам'янське, 12727;853-43-47;vysochanlarysa@example.com
Алексюк;Аніта;Романівна;female;1964-09-06;Художник;місто Герца;сквер Тіниста, буд. 7, Рубіжне, 45912;943 90 10;yzhaivoron@example.org
Лагода;Демид;Богданович;male;1984-11-16;Актор;селище Миронівка;набережна Басейний 2-й, буд. 2 кв. 111, Курахове, 88378;+380 85 515-70-18;mandriichuk@example.org
Скиба;Ірина;Василівна;female;1968-05-25;Ботанік;селище Карлівка;проспект Кодимський, буд. 978 кв. 87, Красилів, 71829;+380 26 952-85-70;viktor10@example.org
Дубас;Ліза;Миколаївна;female;2005-12-16;Модель;село Чорнобиль;узвіз Угорська, буд. 307, Львів, 36773;+380 40 739 81 93;orynaivanchenko@example.net
Шинкаренко;Давид;Романович;male;2007-10-27;Гірник;місто Лозова;площа Дністровська, буд. 5, Ковель, 62852;+380 (35) 827-15-05;bohodar45@example.org
Михайличенко;Гаврило;Петрович;male;1948-12-16;Професор;село Боярка;шосе Семафорний, буд. 881 кв. 53, Судак, 67657;087 255-64-42;giurchuk@example.org
Даньків;Руслан;Андрійович;male;1963-09-13;Архітектор;місто Корюківка;набережна Кришталева, буд. 17, Калинівка, 55851;037 712-65-52;mdrozdenko@example.com
Артимишин;Віктор;Григорович;male;1977-04-17;Складальник;місто Чигирин;вулиця Балтський 8-й, буд. 04 кв. 764, Кобеляки, 76891;098 103 05 62;danfranchuk@example.com
Дубас;Богуслав;Максимович;male;2001-11-12;Диригент;селище Судак;сквер Дністровська, буд. 24, Ровеньки, 14466;+380 16 731-71-22;viktoriianosenko@example.net
Гавриленко;Аркадій;Васильович;male;2001-11-16;Різноробочий;хутір Прип'ять;парк Аптекарський, буд. 6, Прилуки, 35935;004 516-21-48;kyrylo75@example.com
Остапчук;Віра;Степанівна;female;1940-07-24;Реабілітолог;селище Ходорів;узвіз Одарія, буд. 901, Зміїв, 85820;+380 14 851-19-29;orysia63@example.com
Гаврилів;Захар;Володимирович;male;1989-02-20;Реабілітолог;хутір Монастирище;парк Чайкова, буд. 44 кв. 898, Міусинськ, 61955;+380 40 360-06-02;hryhorii63@example.org
Мазур;Ярослава;Вікторівна;female;2004-05-24;Золотар;хутір Рівне;парк Пантелеймонівська, буд. 1, Вознесенськ, 12864;119 10 86;fsych@example.org
Івасюк;Ярослава;Василівна;female;2004-03-13;Круп'є;хутір Валки;площа Східчастий 4-й, буд. 44 кв. 1, Каховка, 85251;047 055-09-96;iarema50@example.org
Бевз;Дарина;Романівна;female;1950-02-19;Бібліотекар;хутір Копичинці;провулок Павла Шклярука, буд. 29 кв. 489, Рава-Руська, 31669;+380 96 687 00 25;valentyna83@example.net
Джус;Панас;Олександрович;male;1946-12-01;Мірошник;селище Чистякове;проспект 12-та ст. Великого Фонтану пляж, буд. 969 кв. 408, Вишневе, 17020;599-40-61;varkhymovych@example.org
Петрик;Веніямин;Володимирович;male;1960-08-15;Мікробіолог;місто Могилів-Подільський;провулок Флотський 3-й, буд. 5, Лутугине, 60059;024 818-19-37;larysaaleksiichuk@example.com
Товстуха;Зорян;Сергійович;male;1998-01-31;Менеджер;село Вижниця;провулок Колективний, буд. 6 кв. 885, Андрушівка, 05882;+380 (29) 217-98-39;vira57@example.org
Нестайко;Адам;Миколайович;male;1973-06-16;Лікар;хутір Тростянець;вулиця Матроський, буд. 76 кв. 176, Теребовля, 87480;469 56 28;liza61@example.net
Скиба;Онисим;Юрійович;male;1999-12-16;Складальник;хутір Дунаївці;вулиця Одарія, буд. 15, Ялта, 74887;077 425-86-53;kprotsenko@example.org
Супруненко;Ганна;Михайлівна;female;1983-06-21;Гінеколог;село Ржищів;узвіз Розумовський 1-й, буд. 6, Світлодарськ, 96592;+380 51 805-75-44;panaslysenko@example.org
Стець;Адам;Іванович;male;1963-01-26;Агроном;місто Косів;провулок Весняна, буд. 06, Білогірськ, 50659;+380 39 990-38-01;nskopenko@example.com
Товстуха;Аніта;Євгенівна;female;1958-03-16;Патологоанатом;місто Стебник;проспект Маланова, буд. 6, Дубровиця, 06863;563-16-40;tereza62@example.org
Матяш;Світлана;Григорівна;female;1980-03-17;Ді-джей;селище Христинівка;вулиця Олександра Ройтбурда, буд. 348, Золотоноша, 40060;+380 51 342 74 06;chuikolevko@example.com
Лупій;Герман;Григорович;male;1941-02-23;Петрограф;село Буськ;сквер Байгородський, буд. 005 кв. 8, Ічня, 05154;032 845-83-40;okseniiaiurchuk@example.org
Тесля;Микита;Богданович;male;1998-06-13;Громадський діяч;село Антрацит;шосе Металістів, буд. 25 кв. 178, П'ятихатки, 31508;044 959 48 34;pushkarboryslav@example.net
Андрощук;Ліза;Михайлівна;female;1961-08-04;Мінералог;хутір Білицьке;набережна Андрія Музичка, буд. 75 кв. 098, Решетилівка, 94911;464-83-62;hennadiiteslenko@example.net
Лемешко;Одарка;Петрівна;female;1964-01-08;Геофізик;селище Мелітополь;площа Чорноморський, буд. 0, Армянськ, 48666;597 79 48;vashchenko-zakharchenkoivan@example.com
Кириленко;Михайло;Дмитрович;male;1990-06-30;Ґрунтознавець;хутір Хмільник;вулиця Сливова, буд. 85, Вознесенівка, 73625;+380 59 599-88-11;anton62@example.org
Дзюба;Галина;Євгенівна;female;1950-04-23;Золотар;село Теребовля;шосе Новий, буд. 1 кв. 76, Южноукраїнськ, 68301;056 505-40-23;fartushniakodarka@example.com
Рудько;Людмила;Максимівна;female;1956-12-19;Акушер;хутір Полонне;узвіз Астрономічний, буд. 71, Сокаль, 13118;+380 50 236-92-52;stefankorsun@example.org
Лукаш;Олекса;Сергійович;male;2001-02-15;Журналіст;хутір Переяслав;парк Данила Самойловича, буд. 1, Кременець, 87623;074 806 96 03;gshevchenko@example.com
Габелко;Віра;Сергіївна;female;1953-03-17;Актор;селище Часів Яр;провулок Амундсена, 2-й, буд. 28 кв. 69, Золотоноша, 32320;634 37 62;ostap64@example.org
Сірко;Олександр;Дмитрович;male;1970-07-13;Біолог;місто Богодухів;узвіз Селекційний, буд. 1, Чистякове, 20983;+380 (60) 872-85-41;zonufriienko@example.com
Свириденко;Олесь;Олегович;male;1968-03-07;Клавішник;село Суходільськ;сквер Лінія 53-тя, буд. 40, Гуляйполе, 08473;911 28 91;davydviter@example.org
Вахній;Соломія;Петрівна;female;1985-12-15;Менеджер;селище Макіївка;узвіз Старопортофранківська, буд. 894 кв. 6, Хирів, 68088;503-18-48;khrystynadavymuka@example.net
Рябець;Григорій;Васильович;male;1948-04-01;Фольклорист;хутір Зборів;проспект Поштова, буд. 930 кв. 6, Знам'янка, 13136;+380 56 655-80-88;qhrechko@example.net
Рубан;Гліб;Іванович;male;1981-07-09;Гірник;село Підгайці;узвіз Таїрова, буд. 972, Гайворон, 57233;+380 48 445-82-57;farkhypenko@example.com
Дзиндра;Ганна;Анатоліївна;female;1989-09-17;Кушнір;місто Ковель;парк Артура Савельєва, буд. 3, Буча, 66673;066 400-44-78;leon14@example.org
Матвієнко;Венедикт;Євгенович;male;1955-12-27;Випробувач;селище Кодима;набережна Бориса Дерев'янка, буд. 8, Любомль, 22817;220 82 84;neporozhniiadam@example.com
Ткаченко;Віра;Степанівна;female;2001-07-29;Кінолог;село Рудки;набережна Херсонський сквер, буд. 80 кв. 4, Обухів, 04778;+380 63 958-99-20;matiashvasylyna@example.net
Валенко;Едуард;Олександрович;male;1965-07-28;Фізик;село Торецьк;шосе Покровський, буд. 505 кв. 35, Мостиська, 85799;073 917-15-34;jbaklan@example.net
Авдєєнко;Зиновій;Анатолійович;male;1940-11-04;Дантист;село Сквира;узвіз Китобійний 2-й, буд. 18, Старокостянтинів, 05204;+380 67 649 96 54;havriushenkodan@example.com
Іщенко;Наталія;Андріївна;female;1987-04-14;Продюсер;селище Глобине;провулок Мигдальна, буд. 16 кв. 626, Часів Яр, 90794;014 419-95-47;chervonenkovasyl@example.com
Іващенко;Марʼяна;Миколаївна;female;1974-06-30;Краєзнавець;місто Городище;провулок Дзвінка, буд. 9, Мар'їнка, 65170;028-33-58;iefrem82@example.net
Дашенко;Юхим;Сергійович;male;1983-10-07;Флорист;селище Горішні Плавні;шосе Золотий берег, буд. 560 кв. 526, Узин, 54490;924-56-94;iaroslavfastenko@example.net
Жадан;Феофан;Олександрович;male;1958-06-05;Єгер;селище Лисичанськ;узвіз Поштовий, буд. 1 кв. 566, Деражня, 29860;+380 (13) 581-85-60;varfolomiistelmakh@example.net
Дахно;Августин;Олегович;male;1983-05-01;Фотограф;хутір Саки;набережна Аркадійська, буд. 7 кв. 516, Кременець, 37265;+380 07 194-26-75;bohdan91@example.com
Юрченко;Едуард;Степанович;male;1990-11-26;Правник;місто Красилів;сквер Семафорний, буд. 707 кв. 745, Євпаторія, 07463;023 387 75 05;andrii95@example.com
Байрак;Роман;Миколайович;male;1956-07-25;Доцент;село Святогірськ;провулок Караїмська, буд. 7 кв. 955, Голубівка, 15462;066 396-27-90;nazarlazarenko@example.org
Адамчук;Омелян;Петрович;male;1990-09-18;Ювелір;село Кривий Ріг;шосе Північний, буд. 013, Хмільник, 76692;+380 (62) 626-50-14;stanislav12@example.org
Палій;Михайло;Юрійович;male;1985-05-07;Кур'єр;хутір Донецьк;парк Трусовська, буд. 9 кв. 03, Бахчисарай, 46196;+380 84 253-19-36;xshovkoplias@example.net
Атаманюк;Макар;Євгенович;male;1996-01-17;Астроном;село Сіверськ;набережна Варненська, буд. 2 кв. 232, Остер, 34759;119-23-03;kyrylohuz@example.net
Жаліло;Амвросій;Сергійович;male;1996-08-05;Фрілансер;селище Буринь;парк Хаджибейський 2-й, буд. 157 кв. 50, Монастирище, 32131;+380 31 077-54-65;biakymchuk@example.com
Авраменко;Анжела;Григорівна;female;1968-02-13;Продюсер;хутір Бібрка;сквер Квіткова, буд. 559 кв. 7, Носівка, 21154;207 07 53;demiantsarenko@example.org
Вдовенко;Варфоломій;Анатолійович;male;1952-04-01;Фотограф;хутір Перевальськ;узвіз Суднобудівна, буд. 942, Тальне, 39895;+380 07 657-68-45;bshevchenko@example.com
Алексійчук;Захар;Степанович;male;1959-08-07;Різноробочий;селище Прилуки;парк Виноградна 2-га, буд. 1 кв. 4, Марганець, 65680;048 616-53-63;ktsarenko@example.com
Скопенко;Аврелій;Дмитрович;male;1946-06-10;Бібліограф;селище Виноградів;площа Шахтинський, буд. 1 кв. 3, Берестин, 37923;+380 20 745-46-65;oleksandr36@example.net
Лукаш;Опанас;Андрійович;male;1994-02-07;Зоолог;селище Снігурівка;сквер Офіцерська, буд. 5, Мена, 69583;045 876 94 22;vernyhoraiaroslava@example.net
Абраменко;Григорій;Олегович;male;1981-08-31;Музикант;хутір Мена;вулиця Олександра Кутузакія, буд. 694, Київ, 15359;+380 46 735-26-54;huziiamaliia@example.org
Таран;Аарон;Володимирович;male;1970-07-13;Реставратор;село Біляївка;шосе Василя Симоненка, буд. 8, Хрестівка, 78126;+380 33 950-25-04;demiankharchenko@example.org
Засядько;Веніямин;Андрійович;male;1953-06-28;Публіцист;селище Нововолинськ;узвіз Усатівська, буд. 050, Українськ, 59170;040 226-86-46;fdubenko@example.net
Чорновіл;Віра;Сергіївна;female;1978-11-28;Паралегал;село Рахів;проспект Оранжерейний, буд. 201, Красноперекопськ, 38204;+380 (68) 629-62-20;chuikomyroslav@example.net
Сагаль;Розалія;Олегівна;female;2004-06-06;Громадський діяч;хутір Херсон;провулок 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 784 кв. 1, Заводське, 88688;+380 (02) 803-46-56;gfareniuk@example.net
Бабко;Руслан;Євгенович;male;1962-07-12;Психолог;місто Монастириська;провулок Слави, буд. 1 кв. 22, Миколаїв, 35287;149 46 37;lupiiiukhym@example.com
Рябовіл;Амвросій;Юрійович;male;1959-07-11;Ґрунтознавець;село Звенигородка;вулиця Скляний 2-й, буд. 17 кв. 024, Старокостянтинів, 10485;+380 74 171-59-17;pholyk@example.org
Ющенко;Орися;Петрівна;female;1954-05-31;Астрофізик;місто Радомишль;проспект Мигдальна, буд. 8, Глобине, 63110;007 540-43-90;opanasenkoartem@example.com
Заїка;Едуард;Миколайович;male;1993-04-10;Співак;місто Білицьке;вулиця Бригадна, буд. 9, Рогатин, 09032;035 263-35-86;orynabalaban@example.net
Дараган;Петро;Васильович;male;1959-06-19;Петрограф;хутір Маріуполь;провулок Ференца Ліста, буд. 95, Зіньків, 93160;026-09-77;oles85@example.com
Іванченко;Арсен;Михайлович;male;2004-07-24;Електрослюсар;місто Хуст;проспект Китобійний 2-й, буд. 0, Комарно, 74541;045 714-65-01;rostyslaviurchyshyn@example.com
Карась;Олесь;Сергійович;male;1953-02-26;Стиліст;село Енергодар;площа Бессарабська, буд. 423 кв. 499, Городище, 88168;037 425 66 28;vderhach@example.com
Рева;Валентина;Анатоліївна;female;1985-02-17;Музикознавець;селище Новояворівськ;сквер Студентський 3-й, буд. 4, Хутір-Михайлівський, 13879;+380 (92) 701-65-54;roksolanadankiv@example.org
Терещук;Юстим;Іванович;male;2006-09-01;Електромонтер;місто Шаргород;площа Північна, буд. 71, Сімферополь, 75967;012 686-56-00;ohavrylyshyn@example.net
Власенко;Юхим;Вікторович;male;1971-01-03;Фермер;селище Кролевець;шосе Сімферопольська, буд. 60, Винники, 19710;053 361-20-67;khrystynagerega@example.org
Вахній;Олена;Григорівна;female;1960-11-23;Ріелтор;місто Белз;сквер Ігоря Балмагії, буд. 545, Обухів, 10368;+380 (38) 056-17-66;xbaran@example.org
Макогон;Марко;Максимович;male;2006-08-24;Бібліотекар;хутір Великі Мости;проспект Князівський, буд. 3 кв. 223, Ямпіль, 61029;041 878 30 58;somkovioletta@example.net
Царенко;Ольга;Романівна;female;1962-12-16;Музичний редактор;село Луцьк;провулок Пересипська 5-та, буд. 043 кв. 453, Нове Давидково, 97442;233 10 88;icherednyk@example.net
Верховинець;Сніжана;Максимівна;female;1989-08-31;Юрист;хутір Залізне;площа Бахчева, буд. 726, Мелітополь, 27624;+380 38 064-78-41;kovalenkooleksandr@example.com
Лукаш;Орина;Дмитрівна;female;1999-07-20;Модель;місто Пирятин;шосе Кредитний, буд. 850, Біляївка, 55143;096 56 11;lbakumenko@example.net
Гречко;Федір;Андрійович;male;2007-12-27;Візажист;село Ямпіль;сквер Шебелінський, буд. 798 кв. 302, Пологи, 21404;+380 59 616-13-84;stanislavkharchenko@example.net
Зайченко;Станіслав;Володимирович;male;1949-06-09;Педагог;хутір Острог;провулок Донцова Дмитра, буд. 29 кв. 74, Рівне, 48769;554-72-96;semenshyian@example.com
Олійник;Ліза;Дмитрівна;female;1960-04-22;Мірошник;місто Рівне;шосе Миколи Міхновського, буд. 483 кв. 780, Джанкой, 75130;+380 95 846-89-92;ieremenkoivan@example.com
Бандура;Віталій;Володимирович;male;1944-10-08;Правник;село Тростянець;вулиця Пересипська 2-га, буд. 3 кв. 4, Теплодар, 23186;+380 03 672-75-74;azar66@example.org
Кибкало;Гаврило;Григорович;male;1946-05-21;Льотчик;село Вовчанськ;площа Шоста, буд. 16, Миргород, 33145;042 071-43-05;oksanafurs@example.net
Стус;Панас;Анатолійович;male;1987-12-19;Кінокритик;місто Немирів;набережна Восьмого березня 1-й, буд. 1, Українськ, 22242;+380 (85) 746-15-85;vadymvelychko@example.net
Данько;Болеслав;Олегович;male;1963-04-04;Штукатур;селище Золоте;сквер Дністровська, буд. 591 кв. 3, Добромиль, 19265;046 698-19-91;huziialina@example.net
